cells,cells_outside_expected_support,component_count,component_elongation_median,component_perimeter_sqrt_area_median,component_size_max,component_size_median,component_size_p90,edge_component_count,family,group,map_id,pct_map,quantity_1,quantity_10,quantity_11,quantity_12,quantity_13,quantity_14,quantity_15,quantity_2,quantity_3,quantity_4,quantity_5,quantity_6,quantity_7,quantity_8,quantity_9,quantity_counts,quantity_max,quantity_mean,quantity_median,quantity_min,stock,terrain_counts
5748,0,290,1.7730059022312243,8.16496580927726,232,5.0,57.0,0,gold,2p,sav_002,0.974528,384,394,399,383,371,351,366,427,358,370,385,390,382,377,411,"{""1"": 384, ""10"": 394, ""11"": 399, ""12"": 383, ""13"": 371, ""14"": 351, ""15"": 366, ""2"": 427, ""3"": 358, ""4"": 370, ""5"": 385, ""6"": 390, ""7"": 382, ""8"": 377, ""9"": 411}",15,7.932846207376479,8.0,1,45598,"{""128"": 799, ""129"": 136, ""32"": 4263, ""33"": 419, ""34"": 1, ""35"": 130}"
2014,0,99,1.7041581445919478,8.94427190999916,86,8.0,50.60000000000001,0,gems,2p,sav_002,0.341458,132,148,115,135,129,116,126,136,136,132,162,129,144,136,138,"{""1"": 132, ""10"": 148, ""11"": 115, ""12"": 135, ""13"": 129, ""14"": 116, ""15"": 126, ""2"": 136, ""3"": 136, ""4"": 132, ""5"": 162, ""6"": 129, ""7"": 144, ""8"": 136, ""9"": 138}",15,7.8540218470705065,8.0,1,15818,"{""128"": 335, ""129"": 61, ""32"": 1419, ""33"": 152, ""34"": 2, ""35"": 45}"
3508,0,132,1.7432356463569878,9.913538149119955,117,16.0,69.9,0,sulfur,2p,sav_002,0.594754,236,214,215,245,228,235,216,264,229,263,256,229,208,231,239,"{""1"": 236, ""10"": 214, ""11"": 215, ""12"": 245, ""13"": 228, ""14"": 235, ""15"": 216, ""2"": 264, ""3"": 229, ""4"": 263, ""5"": 256, ""6"": 229, ""7"": 208, ""8"": 231, ""9"": 239}",15,7.853762827822121,8.0,1,27551,"{""128"": 381, ""129"": 66, ""32"": 2692, ""33"": 285, ""35"": 84}"
39891,0,415,1.785786205753577,8.082903768654761,6770,4.0,167.0000000000001,0,minerals,2p,sav_002,6.763204,2639,2647,2595,2709,2711,2569,2643,2673,2644,2621,2751,2600,2671,2659,2759,"{""1"": 2639, ""10"": 2647, ""11"": 2595, ""12"": 2709, ""13"": 2711, ""14"": 2569, ""15"": 2643, ""2"": 2673, ""3"": 2644, ""4"": 2621, ""5"": 2751, ""6"": 2600, ""7"": 2671, ""8"": 2659, ""9"": 2759}",15,7.995111679326164,8.0,1,318933,"{""128"": 5006, ""129"": 942, ""32"": 29877, ""33"": 2972, ""34"": 18, ""35"": 1076}"
46351,0,8893,1.7320508075688776,7.071067811865475,221,2.0,12.0,12,fish,2p,sav_002,7.858446,3955,3020,3005,3129,3054,3003,2943,3065,3041,3110,2954,2963,3066,3043,3000,"{""1"": 3955, ""10"": 3020, ""11"": 3005, ""12"": 3129, ""13"": 3054, ""14"": 3003, ""15"": 2943, ""2"": 3065, ""3"": 3041, ""4"": 3110, ""5"": 2954, ""6"": 2963, ""7"": 3066, ""8"": 3043, ""9"": 3000}",15,7.846518953204893,8.0,1,363694,"{""0"": 3479, ""1"": 3338, ""2"": 3033, ""3"": 2742, ""4"": 2497, ""5"": 2307, ""6"": 2080, ""7"": 26875}"
0,0,0,0.0,0.0,0,0.0,0.0,0,unknown,2p,sav_002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",0,0.0,0.0,0,0,{}
18692,0,1158,1.4913636182842855,7.071067811865475,580,2.0,42.299999999999955,0,coal,2p,sav_003,3.169081,1257,1260,1283,1196,1277,1277,1217,1275,1233,1234,1212,1260,1246,1245,1220,"{""1"": 1257, ""10"": 1260, ""11"": 1283, ""12"": 1196, ""13"": 1277, ""14"": 1277, ""15"": 1217, ""2"": 1275, ""3"": 1233, ""4"": 1234, ""5"": 1212, ""6"": 1260, ""7"": 1246, ""8"": 1245, ""9"": 1220}",15,7.999304515300663,8.0,1,149523,"{""128"": 2309, ""129"": 521, ""32"": 13396, ""33"": 1794, ""34"": 7, ""35"": 665}"
8629,0,504,1.7320508075688772,7.500031466763344,280,3.0,51.69999999999999,0,iron,2p,sav_003,1.462979,599,580,579,565,548,543,587,549,600,566,620,573,594,556,570,"{""1"": 599, ""10"": 580, ""11"": 579, ""12"": 565, ""13"": 548, ""14"": 543, ""15"": 587, ""2"": 549, ""3"": 600, ""4"": 566, ""5"": 620, ""6"": 573, ""7"": 594, ""8"": 556, ""9"": 570}",15,7.940085757329934,8.0,1,68515,"{""128"": 1060, ""129"": 207, ""32"": 6258, ""33"": 839, ""34"": 2, ""35"": 263}"
5620,0,274,1.802129790889596,8.082903768654761,158,5.0,62.70000000000002,0,gold,2p,sav_003,0.952827,352,351,369,351,382,381,386,364,389,377,392,395,373,357,401,"{""1"": 352, ""10"": 351, ""11"": 369, ""12"": 351, ""13"": 382, ""14"": 381, ""15"": 386, ""2"": 364, ""3"": 389, ""4"": 377, ""5"": 392, ""6"": 395, ""7"": 373, ""8"": 357, ""9"": 401}",15,8.012811387900356,8.0,1,45032,"{""128"": 854, ""129"": 161, ""32"": 3976, ""33"": 411, ""34"": 1, ""35"": 217}"
1866,0,118,1.846030412780715,8.082903768654761,95,5.5,56.0,0,gems,2p,sav_003,0.316366,136,127,122,118,101,110,117,131,128,140,120,123,128,133,132,"{""1"": 136, ""10"": 127, ""11"": 122, ""12"": 118, ""13"": 101, ""14"": 110, ""15"": 117, ""2"": 131, ""3"": 128, ""4"": 140, ""5"": 120, ""6"": 123, ""7"": 128, ""8"": 133, ""9"": 132}",15,7.751339764201501,8.0,1,14464,"{""128"": 208, ""129"": 48, ""32"": 1333, ""33"": 207, ""35"": 70}"
