group,map_id,player,runtime_all_r10,runtime_all_r100,runtime_all_r25,runtime_all_r50,runtime_neighborhood_cells_r10,runtime_neighborhood_cells_r100,runtime_neighborhood_cells_r25,runtime_neighborhood_cells_r50,runtime_world_density_r10,runtime_world_density_r100,runtime_world_density_r25,runtime_world_density_r50,runtime_world_r10,runtime_world_r100,runtime_world_r25,runtime_world_r50,start_x,start_y,static_all_r10,static_all_r100,static_all_r25,static_all_r50,static_neighborhood_cells_r10,static_neighborhood_cells_r100,static_neighborhood_cells_r25,static_neighborhood_cells_r50,static_world_density_r10,static_world_density_r100,static_world_density_r25,static_world_density_r50,static_world_r10,static_world_r100,static_world_r25,static_world_r50
20p,sav_013,15,9,347,54,148,331,29135,1951,7651,24.169184,11.875751,27.165556,19.213175,8,346,53,147,393,678,4,325,32,126,331,29135,1951,7651,12.084592,11.154968,16.401845,16.468435,4,325,32,126
20p,sav_013,16,6,314,54,111,331,30301,1951,7651,15.10574,10.29669,27.165556,14.377206,5,312,53,110,306,189,5,277,45,96,331,30301,1951,7651,15.10574,9.141612,23.065095,12.547379,5,277,45,96
20p,sav_013,17,10,359,58,125,331,30301,1951,7651,27.190332,11.781789,29.215787,16.207032,9,357,57,124,136,121,4,322,39,103,331,30301,1951,7651,12.084592,10.626712,19.989749,13.462293,4,322,39,103
20p,sav_013,18,12,490,50,125,331,30301,1951,7651,33.232628,16.105079,25.115325,16.207032,11,488,49,124,482,421,7,467,35,110,331,30301,1951,7651,21.148036,15.412033,17.939518,14.377206,7,467,35,110
20p,sav_013,19,5,461,43,140,331,30301,1951,7651,12.084592,15.181017,21.527422,18.16756,4,460,42,139,442,509,4,428,26,118,331,30301,1951,7651,12.084592,14.124946,13.326499,15.422821,4,428,26,118
20p,sav_013,20,9,423,45,141,331,30301,1951,7651,24.169184,13.893931,22.552537,18.298262,8,421,44,140,344,270,4,386,28,119,331,30301,1951,7651,12.084592,12.738854,14.351615,15.553522,4,386,28,119
20p,sav_014,1,18,456,54,144,331,30301,1951,7651,51.359517,14.950002,27.165556,18.690367,17,453,53,143,535,415,17,418,53,143,331,30301,1951,7651,51.359517,13.794924,27.165556,18.690367,17,418,53,143
20p,sav_014,2,8,375,46,164,331,29023,1951,7651,21.148036,12.886332,23.065095,21.304405,7,374,45,163,679,415,5,354,27,143,331,29023,1951,7651,15.10574,12.197223,13.839057,18.690367,5,354,27,143
20p,sav_014,3,8,413,51,159,331,30301,1951,7651,21.148036,13.596911,25.627883,20.650895,7,412,50,158,258,227,7,405,43,151,331,30301,1951,7651,21.148036,13.365896,22.039979,19.735982,7,405,43,151
20p,sav_014,4,11,374,46,95,331,30301,1951,7651,30.21148,12.276823,23.065095,12.285976,10,372,45,94,452,369,6,351,24,73,331,30301,1951,7651,18.126888,11.583776,12.301384,9.541236,6,351,24,73
20p,sav_014,5,9,353,42,148,331,29135,1951,7651,24.169184,12.047366,21.014864,19.213175,8,351,41,147,420,89,3,325,25,126,331,29135,1951,7651,9.063444,11.154968,12.813942,16.468435,3,325,25,126
20p,sav_014,6,7,365,37,118,331,30301,1951,7651,18.126888,11.9468,18.452076,15.292119,6,362,36,117,214,469,2,327,22,103,331,30301,1951,7651,6.042296,10.791723,11.276269,13.462293,2,327,22,103
20p,sav_014,7,8,469,75,157,331,30301,1951,7651,21.148036,15.37903,37.929267,20.389492,7,466,74,156,409,536,6,410,53,135,331,30301,1951,7651,18.126888,13.530907,27.165556,17.644752,6,410,53,135
20p,sav_014,8,7,487,63,184,331,30301,1951,7651,18.126888,15.97307,31.778575,23.918442,6,484,62,183,591,196,6,441,48,155,331,30301,1951,7651,18.126888,14.553975,24.602768,20.25879,6,441,48,155
20p,sav_014,9,10,447,35,129,331,30301,1951,7651,27.190332,14.685984,17.426961,16.729839,9,445,34,128,124,386,2,413,16,107,331,30301,1951,7651,6.042296,13.629913,8.200923,13.9851,2,413,16,107
20p,sav_014,10,6,379,51,116,331,30301,1951,7651,15.10574,12.474836,25.627883,15.030715,5,378,50,115,277,137,4,365,39,102,331,30301,1951,7651,12.084592,12.045807,19.989749,13.331591,4,365,39,102
20p,sav_014,11,7,298,32,97,331,30301,1951,7651,18.126888,9.801657,15.889288,12.547379,6,297,31,96,190,545,6,287,31,96,331,30301,1951,7651,18.126888,9.471635,15.889288,12.547379,6,287,31,96
20p,sav_014,12,6,245,48,106,331,29573,1951,7651,15.10574,8.250769,24.09021,13.723696,5,244,47,105,93,171,5,230,33,91,331,29573,1951,7651,15.10574,7.777364,16.914403,11.89387,5,230,33,91
20p,sav_014,13,6,353,43,142,331,30301,1951,7651,15.10574,11.583776,21.527422,18.428964,5,351,42,141,512,327,1,325,30,120,331,30301,1951,7651,3.021148,10.725719,15.37673,15.684224,1,325,30,120
20p,sav_014,14,12,429,40,118,331,30301,1951,7651,33.232628,14.091944,19.989749,15.292119,11,427,39,117,653,272,5,387,27,98,331,30301,1951,7651,15.10574,12.771856,13.839057,12.808783,5,387,27,98
20p,sav_014,15,13,311,45,134,331,28565,1951,7651,36.253776,10.852442,22.552537,17.383349,12,310,44,133,666,683,5,296,30,119,331,28565,1951,7651,15.10574,10.362332,15.37673,15.553522,5,296,30,119
20p,sav_014,16,4,474,31,150,331,30301,1951,7651,9.063444,15.577044,15.37673,19.474578,3,472,30,149,494,540,3,434,22,135,331,30301,1951,7651,9.063444,14.32296,11.276269,17.644752,3,434,22,135
20p,sav_014,17,10,320,46,101,331,30301,1951,7651,27.190332,10.527705,23.065095,13.070187,9,319,45,100,265,388,4,305,31,86,331,30301,1951,7651,12.084592,10.065674,15.889288,11.240361,4,305,31,86
20p,sav_014,18,10,332,44,126,331,30301,1951,7651,27.190332,10.89073,22.039979,16.337734,9,330,43,125,429,667,4,295,29,111,331,30301,1951,7651,12.084592,9.735652,14.864172,14.507907,4,295,29,111
20p,sav_014,19,6,475,49,148,331,30301,1951,7651,15.10574,15.577044,24.602768,19.213175,5,472,48,147,515,148,5,436,43,142,331,30301,1951,7651,15.10574,14.388964,22.039979,18.559665,5,436,43,142
20p,sav_014,20,10,495,52,141,331,30301,1951,7651,27.190332,16.237088,26.140441,18.298262,9,492,51,140,472,624,3,431,30,119,331,30301,1951,7651,9.063444,14.223953,15.37673,15.553522,3,431,30,119
20p,sav_015,1,8,376,26,106,331,30301,1951,7651,21.148036,12.342827,12.813942,13.723696,7,374,25,105,574,374,7,368,25,105,331,30301,1951,7651,21.148036,12.144814,12.813942,13.723696,7,368,25,105
20p,sav_015,2,6,349,34,105,331,28448,1951,7651,15.10574,12.232846,16.914403,13.592994,5,348,33,104,684,560,5,348,33,104,331,28448,1951,7651,15.10574,12.232846,16.914403,13.592994,5,348,33,104
20p,sav_015,3,6,358,33,116,331,30301,1951,7651,15.10574,11.748787,16.401845,15.030715,5,356,32,115,241,386,5,342,32,115,331,30301,1951,7651,15.10574,11.286756,16.401845,15.030715,5,342,32,115
20p,sav_015,4,7,454,32,115,331,30301,1951,7651,18.126888,14.916999,15.889288,14.900013,6,452,31,114,378,337,3,417,18,93,331,30301,1951,7651,9.063444,13.761922,9.226038,12.155274,3,417,18,93
20p,sav_015,5,11,337,66,145,331,26966,1951,7651,30.21148,12.460135,33.316248,18.821069,10,336,65,144,696,333,11,330,59,138,331,26966,1951,7651,33.232628,12.237633,30.240902,18.036858,11,330,59,138
20p,sav_015,6,14,359,54,131,331,30301,1951,7651,39.274924,11.781789,27.165556,16.991243,13,357,53,130,500,540,7,330,40,115,331,30301,1951,7651,21.148036,10.89073,20.502307,15.030715,7,330,40,115
20p,sav_015,7,7,351,37,92,331,30301,1951,7651,18.126888,11.517772,18.452076,11.89387,6,349,36,91,312,432,2,335,22,77,331,30301,1951,7651,6.042296,11.055741,11.276269,10.064044,2,335,22,77
20p,sav_015,8,10,360,46,137,331,30301,1951,7651,27.190332,11.814792,23.065095,17.775454,9,358,45,136,548,291,9,352,39,130,331,30301,1951,7651,27.190332,11.616778,19.989749,16.991243,9,352,39,130
20p,sav_015,9,15,434,56,147,331,30301,1951,7651,42.296073,14.223953,28.190671,19.082473,14,431,55,146,153,515,4,402,41,132,331,30301,1951,7651,12.084592,13.266889,21.014864,17.252647,4,402,41,132
20p,sav_015,10,15,306,47,125,331,30301,1951,7651,42.296073,10.065674,23.577652,16.207032,14,305,46,124,534,105,7,298,39,117,331,30301,1951,7651,21.148036,9.834659,19.989749,15.292119,7,298,39,117
20p,sav_015,11,2,361,39,126,331,30301,1951,7651,3.021148,11.880796,19.477191,16.337734,1,360,38,125,168,226,1,339,22,104,331,30301,1951,7651,3.021148,11.18775,11.276269,13.592994,1,339,22,104
20p,sav_015,12,11,242,57,117,331,30301,1951,7651,30.21148,7.953533,28.703229,15.161417,10,241,56,116,279,102,5,220,36,95,331,30301,1951,7651,15.10574,7.260486,18.452076,12.416678,5,220,36,95
20p,sav_015,13,10,322,45,141,331,30301,1951,7651,27.190332,10.59371,22.552537,18.298262,9,321,44,140,650,210,4,299,24,120,331,30301,1951,7651,12.084592,9.867661,12.301384,15.684224,4,299,24,120
20p,sav_015,14,2,374,43,122,331,30301,1951,7651,3.021148,12.276823,21.527422,15.814926,1,372,42,121,547,513,0,345,29,107,331,30301,1951,7651,0.0,11.385763,14.864172,13.9851,0,345,29,107
20p,sav_015,15,7,261,46,128,331,30301,1951,7651,18.126888,8.580575,23.065095,16.599137,6,260,45,127,424,133,2,239,26,106,331,30301,1951,7651,6.042296,7.887528,13.326499,13.854398,2,239,26,106
20p,sav_015,16,10,361,57,154,331,30301,1951,7651,27.190332,11.847794,28.703229,19.997386,9,359,56,153,403,278,4,331,42,139,331,30301,1951,7651,12.084592,10.923732,21.527422,18.16756,4,331,42,139
20p,sav_015,17,5,333,41,94,331,30301,1951,7651,12.084592,10.89073,20.502307,12.155274,4,330,40,93,151,422,2,301,30,79,331,30301,1951,7651,6.042296,9.933666,15.37673,10.325448,2,301,30,79
20p,sav_015,18,2,391,30,116,331,30301,1951,7651,3.021148,12.804858,14.864172,15.030715,1,388,29,115,227,502,1,353,29,108,331,30301,1951,7651,3.021148,11.649781,14.864172,14.115802,1,353,29,108
20p,sav_015,19,4,311,39,119,331,26836,1951,7651,9.063444,11.551647,19.477191,15.422821,3,310,38,118,588,697,0,289,24,97,331,26836,1951,7651,0.0,10.769116,12.301384,12.678081,0,289,24,97
20p,sav_015,20,7,308,35,108,331,26836,1951,7651,18.126888,11.439857,17.426961,13.9851,6,307,34,107,320,697,4,286,20,86,331,26836,1951,7651,12.084592,10.657326,10.251153,11.240361,4,286,20,86
20p,sav_016,1,6,369,30,97,331,30301,1951,7651,15.10574,12.111811,14.864172,12.547379,5,367,29,96,169,405,5,346,29,96,331,30301,1951,7651,15.10574,11.418765,14.864172,12.547379,5,346,29,96
20p,sav_016,2,5,399,43,116,331,30301,1951,7651,12.084592,13.101878,21.527422,15.030715,4,397,42,115,101,609,4,361,22,94,331,30301,1951,7651,12.084592,11.913798,11.276269,12.285976,4,361,22,94
20p,sav_016,3,6,294,54,143,331,28448,1951,7651,15.10574,10.264342,27.165556,18.559665,5,292,53,142,557,83,3,257,39,121,331,28448,1951,7651,9.063444,9.034027,19.989749,15.814926,3,257,39,121
20p,sav_016,4,9,410,34,118,331,30301,1951,7651,24.169184,13.497904,16.914403,15.292119,8,409,33,117,431,398,4,388,26,96,331,30301,1951,7651,12.084592,12.804858,13.326499,12.547379,4,388,26,96
20p,sav_016,5,11,513,46,144,331,30301,1951,7651,30.21148,16.897132,23.065095,18.690367,10,512,45,143,583,394,5,491,29,122,331,30301,1951,7651,15.10574,16.204086,14.864172,15.945628,5,491,29,122
20p,sav_016,6,11,242,54,119,331,26836,1951,7651,30.21148,8.980474,27.165556,15.422821,10,241,53,118,304,697,7,220,32,97,331,26836,1951,7651,21.148036,8.197943,16.401845,12.678081,7,220,32,97
20p,sav_016,7,6,323,45,138,331,30301,1951,7651,15.10574,10.626712,22.552537,17.906156,5,322,44,137,250,108,4,308,33,123,331,30301,1951,7651,12.084592,10.164681,16.914403,16.07633,4,308,33,123
20p,sav_016,8,16,309,56,112,331,30301,1951,7651,45.317221,10.164681,28.190671,14.507907,15,308,55,111,311,346,10,294,41,97,331,30301,1951,7651,30.21148,9.70265,21.014864,12.678081,10,294,41,97
20p,sav_016,9,8,425,54,157,331,30301,1951,7651,21.148036,13.992938,27.165556,20.389492,7,424,53,156,369,509,2,398,32,135,331,30301,1951,7651,6.042296,13.13488,16.401845,17.644752,2,398,32,135
20p,sav_016,10,9,428,70,174,331,29356,1951,7651,24.169184,14.511514,35.366479,22.611423,8,426,69,173,91,516,8,404,48,152,331,29356,1951,7651,24.169184,13.762093,24.602768,19.866684,8,404,48,152
20p,sav_016,11,16,289,64,138,331,30301,1951,7651,45.317221,9.504637,32.291133,17.906156,15,288,63,137,162,129,7,267,49,123,331,30301,1951,7651,21.148036,8.81159,25.115325,16.07633,7,267,49,123
20p,sav_016,12,4,432,40,143,331,30301,1951,7651,9.063444,14.223953,19.989749,18.559665,3,431,39,142,379,266,3,410,22,121,331,30301,1951,7651,9.063444,13.530907,11.276269,15.814926,3,410,22,121
20p,sav_016,13,8,362,64,153,331,30301,1951,7651,21.148036,11.913798,32.291133,19.866684,7,361,63,152,613,297,7,348,52,139,331,30301,1951,7651,21.148036,11.484769,26.652998,18.16756,7,348,52,139
20p,sav_016,14,5,354,36,144,331,30301,1951,7651,12.084592,11.649781,17.939518,18.690367,4,353,35,143,538,533,1,332,23,122,331,30301,1951,7651,3.021148,10.956734,11.788826,15.945628,1,332,23,122
20p,sav_016,15,1,355,54,129,331,30301,1951,7651,0.0,11.649781,27.165556,16.729839,0,353,53,128,633,166,0,311,39,107,331,30301,1951,7651,0.0,10.263688,19.989749,13.9851,0,311,39,107
20p,sav_016,16,4,286,49,124,331,30301,1951,7651,9.063444,9.40563,24.602768,16.07633,3,285,48,123,556,640,3,245,32,102,331,30301,1951,7651,9.063444,8.085542,16.401845,13.331591,3,245,32,102
20p,sav_016,17,8,352,43,123,331,30301,1951,7651,21.148036,11.550774,21.527422,15.945628,7,350,42,122,153,323,3,329,25,101,331,30301,1951,7651,9.063444,10.857727,12.813942,13.200889,3,329,25,101
20p,sav_016,18,7,430,49,158,331,29573,1951,7651,18.126888,14.506476,24.602768,20.520193,6,429,48,157,674,503,3,394,29,136,331,29573,1951,7651,9.063444,13.322964,14.864172,17.775454,3,394,29,136
20p,sav_016,19,10,388,49,109,331,30301,1951,7651,27.190332,12.771856,24.602768,14.115802,9,387,48,108,344,590,4,362,34,94,331,30301,1951,7651,12.084592,11.9468,17.426961,12.285976,4,362,34,94
20p,sav_016,20,10,435,44,146,331,30301,1951,7651,27.190332,14.32296,22.039979,18.951771,9,434,43,145,450,166,2,413,27,124,331,30301,1951,7651,6.042296,13.629913,13.839057,16.207032,2,413,27,124
